experiment,well,exclude,sample,assay,role,cq,copies,thresholdSetting,thresholdCq,baselineSetting,baselineStart,baselineEnd
samples-template-niloticus_Aug03_2021_053553PM,B3,Excluded,17.06.19/06 (1:5),niloticus,Unknown,,,Auto,,Auto,,
samples-template-niloticus_Aug03_2021_053553PM,B4,Excluded,13.06.19/17 (1:5),niloticus,Unknown,,,Auto,,Auto,,
samples-template-niloticus_Aug03_2021_053553PM,B5,Excluded,MG01/02 (1:5),niloticus,Unknown,,,Auto,,Auto,,
samples-template-niloticus_Aug03_2021_053553PM,B6,Excluded,MG02/01 (1:5),niloticus,Unknown,,,Auto,,Auto,,
samples-template-niloticus_Aug03_2021_053553PM,B7,Excluded,MG02/03 (1:5),niloticus,Unknown,,,Auto,,Auto,,
samples-template-niloticus_Aug03_2021_053553PM,B8,Excluded,niloticus-synthetic,niloticus,Standard,,,Auto,,Auto,,
samples-template-niloticus_Aug03_2021_053553PM,C1,,17.06.19/02 (1:5),niloticus,Unknown,37.0692192760921,1.88375659809408,Auto,0.249,Auto,3,32
samples-template-niloticus_Aug03_2021_053553PM,C2,,17.06.19/04 (1:5),niloticus,Unknown,36.3030407025697,3.16874692109507,Auto,0.249,Auto,3,31
samples-template-niloticus_Aug03_2021_053553PM,C3,Excluded,17.06.19/06 (1:5),niloticus,Unknown,,,Auto,,Auto,,
samples-template-niloticus_Aug03_2021_053553PM,C4,Excluded,13.06.19/17 (1:5),niloticus,Unknown,,,Auto,,Auto,,
samples-template-niloticus_Aug03_2021_053553PM,C5,Excluded,MG01/02 (1:5),niloticus,Unknown,,,Auto,,Auto,,
samples-template-niloticus_Aug03_2021_053553PM,C6,Excluded,MG02/01 (1:5),niloticus,Unknown,,,Auto,,Auto,,
samples-template-niloticus_Aug03_2021_053553PM,C7,Excluded,MG02/03 (1:5),niloticus,Unknown,,,Auto,,Auto,,
samples-template-niloticus_Aug03_2021_053553PM,C8,Excluded,niloticus-synthetic,niloticus,Standard,,,Auto,,Auto,,
samples-template-niloticus_Aug03_2021_053553PM,D1,Excluded,17.06.19/03 (1:5),niloticus,Unknown,,,Auto,,Auto,,
samples-template-niloticus_Aug03_2021_053553PM,D2,Excluded,17.06.19/05 (1:5),niloticus,Unknown,,,Auto,,Auto,,
samples-template-niloticus_Aug03_2021_053553PM,D3,Excluded,17.06.19/07 (1:5),niloticus,Unknown,,,Auto,,Auto,,
samples-template-niloticus_Aug03_2021_053553PM,D4,Excluded,MG01/01 (1:5),niloticus,Unknown,,,Auto,,Auto,,
samples-template-niloticus_Aug03_2021_053553PM,D5,Excluded,MG01/03 (1:5),niloticus,Unknown,,,Auto,,Auto,,
samples-template-niloticus_Aug03_2021_053553PM,D6,Excluded,MG02/02 (1:5),niloticus,Unknown,,,Auto,,Auto,,
samples-template-niloticus_Aug03_2021_053553PM,D7,,MG03/01 (1:5),niloticus,Unknown,34.5975046115279,10.0847406748084,Auto,0.249,Auto,3,30
samples-template-niloticus_Aug03_2021_053553PM,D8,Excluded,,niloticus,NTC,,,Auto,,Auto,,
samples-template-niloticus_Aug03_2021_053553PM,E1,Excluded,17.06.19/03 (1:5),niloticus,Unknown,,,Auto,,Auto,,
samples-template-niloticus_Aug03_2021_053553PM,E2,Excluded,17.06.19/05 (1:5),niloticus,Unknown,,,Auto,,Auto,,
samples-template-niloticus_Aug03_2021_053553PM,E3,Excluded,17.06.19/07 (1:5),niloticus,Unknown,,,Auto,,Auto,,
samples-template-niloticus_Aug03_2021_053553PM,E4,Excluded,MG01/01 (1:5),niloticus,Unknown,,,Auto,,Auto,,
samples-template-niloticus_Aug03_2021_053553PM,E5,Excluded,MG01/03 (1:5),niloticus,Unknown,,,Auto,,Auto,,
samples-template-niloticus_Aug03_2021_053553PM,E6,Excluded,MG02/02 (1:5),niloticus,Unknown,,,Auto,,Auto,,
samples-template-niloticus_Aug03_2021_053553PM,E7,,MG03/01 (1:5),niloticus,Unknown,33.9241284629657,15.9283267759503,Auto,0.249,Auto,3,30
samples-template-niloticus_Aug03_2021_053553PM,E8,Excluded,,niloticus,NTC,,,Auto,,Auto,,
samples-template-niloticus_Aug03_2021_053553PM,F1,Excluded,17.06.19/03 (1:5),niloticus,Unknown,,,Auto,,Auto,,
samples-template-niloticus_Aug03_2021_053553PM,F2,Excluded,17.06.19/05 (1:5),niloticus,Unknown,,,Auto,,Auto,,
samples-template-niloticus_Aug03_2021_053553PM,F3,Excluded,17.06.19/07 (1:5),niloticus,Unknown,,,Auto,,Auto,,
samples-template-niloticus_Aug03_2021_053553PM,F4,Excluded,MG01/01 (1:5),niloticus,Unknown,,,Auto,,Auto,,
samples-template-niloticus_Aug03_2021_053553PM,F5,Excluded,MG01/03 (1:5),niloticus,Unknown,,,Auto,,Auto,,
samples-template-niloticus_Aug03_2021_053553PM,F6,Excluded,MG02/02 (1:5),niloticus,Unknown,,,Auto,,Auto,,
samples-template-niloticus_Aug03_2021_053553PM,F7,,MG03/01 (1:5),niloticus,Unknown,36.7488190380122,2.34140200124415,Auto,0.249,Auto,3,33
samples-template-niloticus_Aug03_2021_053553PM,F8,Excluded,,niloticus,NTC,,,Auto,,Auto,,
samples-template-niloticus_Aug04_2021_032558PM,A1,,MG03/02 (1:5),niloticus,Unknown,33.2703864168137,24.8249062089259,Auto,0.249,Auto,3,29
samples-template-niloticus_Aug04_2021_032558PM,A2,Excluded,field control 19/10 (1:5),niloticus,Unknown,,,Auto,,Auto,,
samples-template-niloticus_Aug04_2021_032558PM,A3,,MG04/02 (1:5),niloticus,Unknown,36.7548989427941,2.33175911036076,Auto,0.249,Auto,3,33
samples-template-niloticus_Aug04_2021_032558PM,A4,,MG05/01 (1:5),niloticus,Unknown,32.6766051949274,37.1474620158316,Auto,0.249,Auto,3,29
samples-template-niloticus_Aug04_2021_032558PM,A5,,MG05/03 (1:5),niloticus,Unknown,33.0680569495228,28.4795144394044,Auto,0.249,Auto,3,29
samples-template-niloticus_Aug04_2021_032558PM,A6,,MG06/02 (1:5),niloticus,Unknown,35.4760010704838,5.55509682045165,Auto,0.249,Auto,3,31
samples-template-niloticus_Aug04_2021_032558PM,A7,,MG07/01 (1:5),niloticus,Unknown,35.7250960517573,4.69094782409307,Auto,0.249,Auto,3,32
samples-template-niloticus_Aug04_2021_032558PM,A8,Excluded,niloticus-synthetic,niloticus,Standard,,,Auto,,Auto,,
samples-template-niloticus_Aug04_2021_032558PM,B1,,MG03/02 (1:5),niloticus,Unknown,33.1585760940638,26.7823280540929,Auto,0.249,Auto,3,29
samples-template-niloticus_Aug04_2021_032558PM,B2,Excluded,field control 19/10 (1:5),niloticus,Unknown,,,Auto,,Auto,,
samples-template-niloticus_Aug04_2021_032558PM,B3,,MG04/02 (1:5),niloticus,Unknown,35.1163482838883,7.0911086674073,Auto,0.249,Auto,3,31
samples-template-niloticus_Aug04_2021_032558PM,B4,,MG05/01 (1:5),niloticus,Unknown,32.7411919703462,35.5540868216217,Auto,0.249,Auto,3,29
samples-template-niloticus_Aug04_2021_032558PM,B5,,MG05/03 (1:5),niloticus,Unknown,32.4577927114864,43.0956227695029,Auto,0.249,Auto,3,28
samples-template-niloticus_Aug04_2021_032558PM,B6,Excluded,MG06/02 (1:5),niloticus,Unknown,,,Auto,,Auto,,
samples-template-niloticus_Aug04_2021_032558PM,B7,Excluded,MG07/01 (1:5),niloticus,Unknown,,,Auto,,Auto,,
samples-template-niloticus_Aug04_2021_032558PM,B8,Excluded,niloticus-synthetic,niloticus,Standard,,,Auto,,Auto,,
samples-template-niloticus_Aug04_2021_032558PM,C1,,MG03/02 (1:5),niloticus,Unknown,33.0208433571546,29.407000993379,Auto,0.249,Auto,3,29
samples-template-niloticus_Aug04_2021_032558PM,C2,Excluded,field control 19/10 (1:5),niloticus,Unknown,,,Auto,,Auto,,
samples-template-niloticus_Aug04_2021_032558PM,C3,,MG04/02 (1:5),niloticus,Unknown,35.2391028552883,6.52419844790691,Auto,0.249,Auto,3,32
samples-template-niloticus_Aug04_2021_032558PM,C4,,MG05/01 (1:5),niloticus,Unknown,33.1462063371986,27.0081490640806,Auto,0.249,Auto,3,30
samples-template-niloticus_Aug04_2021_032558PM,C5,,MG05/03 (1:5),niloticus,Unknown,34.0896651620651,14.2354558963696,Auto,0.249,Auto,3,30
samples-template-niloticus_Aug04_2021_032558PM,C6,,MG06/02 (1:5),niloticus,Unknown,36.3352338598506,3.10025411354312,Auto,0.249,Auto,3,33
samples-template-niloticus_Aug04_2021_032558PM,C7,Excluded,MG07/01 (1:5),niloticus,Unknown,,,Auto,,Auto,,
samples-template-niloticus_Aug04_2021_032558PM,C8,Excluded,niloticus-synthetic,niloticus,Standard,,,Auto,,Auto,,
samples-template-niloticus_Aug04_2021_032558PM,D1,,MG03/03 (1:5),niloticus,Unknown,34.3299160490142,12.0933747735328,Auto,0.249,Auto,3,31
samples-template-niloticus_Aug04_2021_032558PM,D2,Excluded,MG04/01 (1:5),niloticus,Unknown,,,Auto,,Auto,,
samples-template-niloticus_Aug04_2021_032558PM,D3,,MG04/03 (1:5),niloticus,Unknown,34.5021873315347,10.758790199167,Auto,0.249,Auto,3,30
samples-template-niloticus_Aug04_2021_032558PM,D4,,MG05/02 (1:5),niloticus,Unknown,34.0231510532443,14.8928961095328,Auto,0.249,Auto,3,30
samples-template-niloticus_Aug04_2021_032558PM,D5,,MG06/01 (1:5),niloticus,Unknown,36.0382481276462,3.79267910314221,Auto,0.249,Auto,3,33
samples-template-niloticus_Aug04_2021_032558PM,D6,,MG06/03 (1:5),niloticus,Unknown,35.7150165470205,4.7231523307516,Auto,0.249,Auto,3,32
samples-template-niloticus_Aug04_2021_032558PM,D7,,MG07/02 (1:5),niloticus,Unknown,34.4476030465839,11.1648890152389,Auto,0.249,Auto,3,31
samples-template-niloticus_Aug04_2021_032558PM,D8,Excluded,,niloticus,NTC,,,Auto,,Auto,,
samples-template-niloticus_Aug04_2021_032558PM,E1,,MG03/03 (1:5),niloticus,Unknown,35.4007403460283,5.8462561339066,Auto,0.249,Auto,3,32
samples-template-niloticus_Aug04_2021_032558PM,E2,,MG04/01 (1:5),niloticus,Unknown,40.5020674218872,0.183252986678089,Auto,0.249,Auto,3,32
samples-template-niloticus_Aug04_2021_032558PM,E3,,MG04/03 (1:5),niloticus,Unknown,33.7532323659297,17.8874666609531,Auto,0.249,Auto,3,29
samples-template-niloticus_Aug04_2021_032558PM,E4,,MG05/02 (1:5),niloticus,Unknown,33.5511916157812,20.516755842135,Auto,0.249,Auto,3,29
samples-template-niloticus_Aug04_2021_032558PM,E5,,MG06/01 (1:5),niloticus,Unknown,36.2338317480018,3.32115963965032,Auto,0.249,Auto,3,33
samples-template-niloticus_Aug04_2021_032558PM,E6,,MG06/03 (1:5),niloticus,Unknown,38.0364781307718,0.976979167764825,Auto,0.249,Auto,3,34
samples-template-niloticus_Aug04_2021_032558PM,E7,Excluded,MG07/02 (1:5),niloticus,Unknown,,,Auto,,Auto,,
samples-template-niloticus_Aug04_2021_032558PM,E8,Excluded,,niloticus,NTC,,,Auto,,Auto,,
samples-template-niloticus_Aug04_2021_032558PM,F1,,MG03/03 (1:5),niloticus,Unknown,33.7030822858289,18.5068559246263,Auto,0.249,Auto,3,30
samples-template-niloticus_Aug04_2021_032558PM,F2,Excluded,MG04/01 (1:5),niloticus,Unknown,,,Auto,,Auto,,
